#Uploaded_variation	Location	Allele	Consequence	IMPACT	SYMBOL	Gene	Feature_type	Feature	BIOTYPE	EXON	INTRON	HGVSc	HGVSp	cDNA_position	CDS_position	Protein_position	Amino_acids	Codons	Existing_variation	REF_ALLELE	UPLOADED_ALLELE	DISTANCE	STRAND	FLAGS	SYMBOL_SOURCE	HGNC_ID	MANE	MANE_SELECT	MANE_PLUS_CLINICAL	TSL	APPRIS	SIFT	PolyPhen	AF	CLIN_SIG	SOMATIC	PHENO	PUBMED	MOTIF_NAME	MOTIF_POS	HIGH_INF_POS	MOTIF_SCORE_CHANGE	TRANSCRIPTION_FACTORS
chr1_19288433_rs117022236	1:19288432-19288434	rs117022236	intron_variant	MODIFIER	AKR7A3	ENSG00000162482	Transcript	ENST00000361640.5	protein_coding	-	1/6	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:390	MANE_Select	NM_012067.3	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr17_78891958_rs8077028	17:78891957-78891959	rs8077028	coding_sequence_variant	MODIFIER	CEP295NL	ENSG00000178404	Transcript	ENST00000322630.3	protein_coding	3/3	-	-	-	711-712	545-546	182	-	-	-	-	-	-	-1	-	HGNC	HGNC:44659	MANE_Select	NM_001243540.2	-	2	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr17_78891958_rs8077028	17:78891957-78891959	rs8077028	intron_variant	MODIFIER	TIMP2	ENSG00000035862	Transcript	ENST00000536189.6	protein_coding	-	1/4	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:11821	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr17_78891958_rs8077028	17:78891957-78891959	rs8077028	intron_variant	MODIFIER	TIMP2	ENSG00000035862	Transcript	ENST00000586713.6	protein_coding	-	3/6	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:11821	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
chr17_78891958_rs8077028	17:78891957-78891959	rs8077028	downstream_gene_variant	MODIFIER	CEP295NL	ENSG00000178404	Transcript	ENST00000587052.1	protein_coding	-	-	-	-	-	-	-	-	-	-	-	-	310	-1	cds_end_NF	HGNC	HGNC:44659	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-
chr17_78891958_rs8077028	17:78891957-78891959	rs8077028	coding_sequence_variant	MODIFIER	CEP295NL	ENSG00000178404	Transcript	ENST00000590267.6	protein_coding	3/3	-	-	-	788-789	371-372	124	-	-	-	-	-	-	-1	cds_end_NF	HGNC	HGNC:44659	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr17_78891958_rs8077028	17:78891957-78891959	rs8077028	intron_variant,non_coding_transcript_variant	MODIFIER	-	ENSG00000305285	Transcript	ENST00000810067.1	lncRNA	-	1/1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr17_78891958_rs8077028	17:78891957-78891959	rs8077028	intron_variant,non_coding_transcript_variant	MODIFIER	-	ENSG00000305285	Transcript	ENST00000810068.1	lncRNA	-	1/1	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr18_6974459_rs183708309	18:6974458-6974460	rs183708309	intron_variant	MODIFIER	LAMA1	ENSG00000101680	Transcript	ENST00000389658.4	protein_coding	-	46/62	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:6481	MANE_Select	NM_005559.4	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr18_6974459_rs183708309	18:6974458-6974460	rs183708309	upstream_gene_variant	MODIFIER	LAMA1	ENSG00000101680	Transcript	ENST00000484335.1	retained_intron	-	-	-	-	-	-	-	-	-	-	-	-	2251	-1	-	HGNC	HGNC:6481	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
chr18_6974459_rs183708309	18:6974458-6974460	rs183708309	intron_variant,non_coding_transcript_variant	MODIFIER	LAMA1	ENSG00000101680	Transcript	ENST00000579014.5	retained_intron	-	45/61	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:6481	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr18_48806023_rs1994558	18:48806022-48806024	rs1994558	intron_variant	MODIFIER	CTIF	ENSG00000134030	Transcript	ENST00000256413.8	protein_coding	-	9/11	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:23925	MANE_Select	NM_014772.3	-	1	A1	-	-	-	-	-	-	-	-	-	-	-	-
chr18_48806023_rs1994558	18:48806022-48806024	rs1994558	intron_variant	MODIFIER	CTIF	ENSG00000134030	Transcript	ENST00000382998.8	protein_coding	-	10/12	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:23925	-	-	-	1	P3	-	-	-	-	-	-	-	-	-	-	-	-
chr18_48806023_rs1994558	18:48806022-48806024	rs1994558	intron_variant,non_coding_transcript_variant	MODIFIER	CTIF	ENSG00000134030	Transcript	ENST00000587860.1	retained_intron	-	1/3	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:23925	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_13060609_rs1382358	19:13060608-13060610	rs1382358	intron_variant	MODIFIER	NFIX	ENSG00000008441	Transcript	ENST00000358552.8	protein_coding	-	1/8	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:7788	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_13060609_rs1382358	19:13060608-13060610	rs1382358	intron_variant	MODIFIER	NFIX	ENSG00000008441	Transcript	ENST00000360105.8	protein_coding	-	2/8	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:7788	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_13060609_rs1382358	19:13060608-13060610	rs1382358	intron_variant	MODIFIER	NFIX	ENSG00000008441	Transcript	ENST00000397661.6	protein_coding	-	2/9	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:7788	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_13060609_rs1382358	19:13060608-13060610	rs1382358	intron_variant,NMD_transcript_variant	MODIFIER	NFIX	ENSG00000008441	Transcript	ENST00000585382.5	nonsense_mediated_decay	-	2/7	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:7788	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_13060609_rs1382358	19:13060608-13060610	rs1382358	intron_variant	MODIFIER	NFIX	ENSG00000008441	Transcript	ENST00000585575.5	protein_coding	-	2/10	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:7788	-	-	-	5	P4	-	-	-	-	-	-	-	-	-	-	-	-
chr19_13060609_rs1382358	19:13060608-13060610	rs1382358	intron_variant,NMD_transcript_variant	MODIFIER	NFIX	ENSG00000008441	Transcript	ENST00000586797.5	nonsense_mediated_decay	-	2/10	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:7788	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_13060609_rs1382358	19:13060608-13060610	rs1382358	intron_variant	MODIFIER	NFIX	ENSG00000008441	Transcript	ENST00000587260.1	protein_coding	-	1/8	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:7788	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_13060609_rs1382358	19:13060608-13060610	rs1382358	intron_variant	MODIFIER	NFIX	ENSG00000008441	Transcript	ENST00000587760.5	protein_coding	-	2/9	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:7788	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_13060609_rs1382358	19:13060608-13060610	rs1382358	intron_variant	MODIFIER	NFIX	ENSG00000008441	Transcript	ENST00000588228.5	protein_coding	-	2/10	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:7788	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_13060609_rs1382358	19:13060608-13060610	rs1382358	intron_variant	MODIFIER	NFIX	ENSG00000008441	Transcript	ENST00000592199.6	protein_coding	-	2/10	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:7788	MANE_Select	NM_001365902.3	-	5	A1	-	-	-	-	-	-	-	-	-	-	-	-
chr19_13060609_rs1382358	19:13060608-13060610	rs1382358	intron_variant	MODIFIER	NFIX	ENSG00000008441	Transcript	ENST00000622520.2	protein_coding	-	1/7	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:7788	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_13060609_rs1382358	19:13060608-13060610	rs1382358	intron_variant	MODIFIER	NFIX	ENSG00000008441	Transcript	ENST00000676441.1	protein_coding	-	2/10	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:7788	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_13060609_rs1382358	19:13060608-13060610	rs1382358	intron_variant	MODIFIER	NFIX	ENSG00000008441	Transcript	ENST00000693124.1	protein_coding	-	1/6	-	-	-	-	-	-	-	-	-	-	-	1	cds_start_NF	HGNC	HGNC:7788	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_13060609_rs1382358	19:13060608-13060610	rs1382358	regulatory_region_variant	MODIFIER	-	-	RegulatoryFeature	ENSR19_DMHF	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_18356029_rs34068189	19:18356028-18356030	rs34068189	intron_variant	MODIFIER	PGPEP1	ENSG00000130517	Transcript	ENST00000252813.5	protein_coding	-	2/3	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:13568	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_18356029_rs34068189	19:18356028-18356030	rs34068189	intron_variant	MODIFIER	PGPEP1	ENSG00000130517	Transcript	ENST00000269919.11	protein_coding	-	3/4	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:13568	MANE_Select	NM_017712.4	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr19_18356029_rs34068189	19:18356028-18356030	rs34068189	intron_variant	MODIFIER	PGPEP1	ENSG00000130517	Transcript	ENST00000595066.5	protein_coding	-	3/3	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:13568	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_18356029_rs34068189	19:18356028-18356030	rs34068189	upstream_gene_variant	MODIFIER	PGPEP1	ENSG00000130517	Transcript	ENST00000595552.2	protein_coding	-	-	-	-	-	-	-	-	-	-	-	-	1476	1	cds_start_NF	HGNC	HGNC:13568	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_18356029_rs34068189	19:18356028-18356030	rs34068189	intron_variant,NMD_transcript_variant	MODIFIER	PGPEP1	ENSG00000130517	Transcript	ENST00000596962.5	nonsense_mediated_decay	-	4/5	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:13568	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_18356029_rs34068189	19:18356028-18356030	rs34068189	intron_variant	MODIFIER	PGPEP1	ENSG00000130517	Transcript	ENST00000597431.2	protein_coding	-	3/3	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:13568	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_18356029_rs34068189	19:18356028-18356030	rs34068189	upstream_gene_variant	MODIFIER	PGPEP1	ENSG00000130517	Transcript	ENST00000597663.2	protein_coding	-	-	-	-	-	-	-	-	-	-	-	-	1448	1	cds_start_NF	HGNC	HGNC:13568	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_18356029_rs34068189	19:18356028-18356030	rs34068189	intron_variant,NMD_transcript_variant	MODIFIER	PGPEP1	ENSG00000130517	Transcript	ENST00000600283.6	nonsense_mediated_decay	-	4/5	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:13568	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_18356029_rs34068189	19:18356028-18356030	rs34068189	intron_variant	MODIFIER	PGPEP1	ENSG00000130517	Transcript	ENST00000604499.6	protein_coding	-	3/4	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:13568	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_32989169_rs7245939	19:32989168-32989170	rs7245939	intron_variant	MODIFIER	RHPN2	ENSG00000131941	Transcript	ENST00000254260.8	protein_coding	-	14/14	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:19974	MANE_Select	NM_033103.5	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr19_32989169_rs7245939	19:32989168-32989170	rs7245939	intron_variant,non_coding_transcript_variant	MODIFIER	RHPN2	ENSG00000131941	Transcript	ENST00000544458.6	retained_intron	-	11/11	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:19974	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_32989169_rs7245939	19:32989168-32989170	rs7245939	downstream_gene_variant	MODIFIER	RHPN2	ENSG00000131941	Transcript	ENST00000585641.1	retained_intron	-	-	-	-	-	-	-	-	-	-	-	-	4852	-1	-	HGNC	HGNC:19974	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_32989169_rs7245939	19:32989168-32989170	rs7245939	intron_variant,NMD_transcript_variant	MODIFIER	RHPN2	ENSG00000131941	Transcript	ENST00000588388.5	nonsense_mediated_decay	-	13/13	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:19974	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_32989169_rs7245939	19:32989168-32989170	rs7245939	intron_variant,non_coding_transcript_variant	MODIFIER	RHPN2	ENSG00000131941	Transcript	ENST00000588683.1	protein_coding_CDS_not_defined	-	2/2	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:19974	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_32989169_rs7245939	19:32989168-32989170	rs7245939	downstream_gene_variant	MODIFIER	RHPN2	ENSG00000131941	Transcript	ENST00000591502.1	retained_intron	-	-	-	-	-	-	-	-	-	-	-	-	1283	-1	-	HGNC	HGNC:19974	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_32989169_rs7245939	19:32989168-32989170	rs7245939	intron_variant,non_coding_transcript_variant	MODIFIER	RHPN2	ENSG00000131941	Transcript	ENST00000592247.1	retained_intron	-	1/1	-	-	-	-	-	-	-	-	-	-	-	-1	-	HGNC	HGNC:19974	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44799693_rs2967668	19:44799692-44799694	rs2967668	intron_variant	MODIFIER	CBLC	ENSG00000142273	Transcript	ENST00000341505.4	protein_coding	-	8/9	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:15961	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44799693_rs2967668	19:44799692-44799694	rs2967668	upstream_gene_variant	MODIFIER	-	ENSG00000285128	Transcript	ENST00000644659.1	lncRNA	-	-	-	-	-	-	-	-	-	-	-	-	4007	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44799693_rs2967668	19:44799692-44799694	rs2967668	intron_variant	MODIFIER	CBLC	ENSG00000142273	Transcript	ENST00000647358.2	protein_coding	-	9/10	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:15961	MANE_Select	NM_012116.4	-	-	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44848488_rs1871047	19:44848487-44848489	rs1871047	intron_variant	MODIFIER	NECTIN2	ENSG00000130202	Transcript	ENST00000252483.10	protein_coding	-	1/8	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:9707	MANE_Select	NM_001042724.2	-	1	P3	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44848488_rs1871047	19:44848487-44848489	rs1871047	intron_variant	MODIFIER	NECTIN2	ENSG00000130202	Transcript	ENST00000252485.8	protein_coding	-	1/5	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:9707	-	-	-	1	A2	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44848488_rs1871047	19:44848487-44848489	rs1871047	upstream_gene_variant	MODIFIER	-	ENSG00000302518	Transcript	ENST00000787618.1	lncRNA	-	-	-	-	-	-	-	-	-	-	-	-	494	-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44854681_rs2927468	19:44854680-44854682	rs2927468	intron_variant	MODIFIER	NECTIN2	ENSG00000130202	Transcript	ENST00000252483.10	protein_coding	-	1/8	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:9707	MANE_Select	NM_001042724.2	-	1	P3	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44854681_rs2927468	19:44854680-44854682	rs2927468	intron_variant	MODIFIER	NECTIN2	ENSG00000130202	Transcript	ENST00000252485.8	protein_coding	-	1/5	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:9707	-	-	-	1	A2	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44857966_rs440277	19:44857965-44857967	rs440277	intron_variant	MODIFIER	NECTIN2	ENSG00000130202	Transcript	ENST00000252483.10	protein_coding	-	1/8	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:9707	MANE_Select	NM_001042724.2	-	1	P3	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44857966_rs440277	19:44857965-44857967	rs440277	intron_variant	MODIFIER	NECTIN2	ENSG00000130202	Transcript	ENST00000252485.8	protein_coding	-	1/5	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:9707	-	-	-	1	A2	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44865062_rs419010	19:44865061-44865063	rs419010	intron_variant	MODIFIER	NECTIN2	ENSG00000130202	Transcript	ENST00000252483.10	protein_coding	-	1/8	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:9707	MANE_Select	NM_001042724.2	-	1	P3	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44865062_rs419010	19:44865061-44865063	rs419010	intron_variant	MODIFIER	NECTIN2	ENSG00000130202	Transcript	ENST00000252485.8	protein_coding	-	1/5	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:9707	-	-	-	1	A2	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44898408_rs8106922	19:44898407-44898409	rs8106922	intron_variant	MODIFIER	TOMM40	ENSG00000130204	Transcript	ENST00000252487.9	protein_coding	-	6/9	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:18001	-	-	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44898408_rs8106922	19:44898407-44898409	rs8106922	intron_variant	MODIFIER	TOMM40	ENSG00000130204	Transcript	ENST00000405636.6	protein_coding	-	6/9	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:18001	-	-	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44898408_rs8106922	19:44898407-44898409	rs8106922	intron_variant	MODIFIER	TOMM40	ENSG00000130204	Transcript	ENST00000426677.7	protein_coding	-	5/8	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:18001	MANE_Select	NM_001128917.2	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44898408_rs8106922	19:44898407-44898409	rs8106922	downstream_gene_variant	MODIFIER	TOMM40	ENSG00000130204	Transcript	ENST00000589649.1	protein_coding	-	-	-	-	-	-	-	-	-	-	-	-	4341	1	cds_end_NF	HGNC	HGNC:18001	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44898408_rs8106922	19:44898407-44898409	rs8106922	intron_variant,NMD_transcript_variant	MODIFIER	TOMM40	ENSG00000130204	Transcript	ENST00000592041.1	nonsense_mediated_decay	-	2/5	-	-	-	-	-	-	-	-	-	-	-	1	cds_start_NF	HGNC	HGNC:18001	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44898408_rs8106922	19:44898407-44898409	rs8106922	intron_variant	MODIFIER	TOMM40	ENSG00000130204	Transcript	ENST00000592434.5	protein_coding	-	6/8	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:18001	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44900154_rs1160985	19:44900153-44900155	rs1160985	intron_variant	MODIFIER	TOMM40	ENSG00000130204	Transcript	ENST00000252487.9	protein_coding	-	6/9	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:18001	-	-	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44900154_rs1160985	19:44900153-44900155	rs1160985	intron_variant	MODIFIER	TOMM40	ENSG00000130204	Transcript	ENST00000405636.6	protein_coding	-	6/9	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:18001	-	-	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44900154_rs1160985	19:44900153-44900155	rs1160985	intron_variant	MODIFIER	TOMM40	ENSG00000130204	Transcript	ENST00000426677.7	protein_coding	-	5/8	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:18001	MANE_Select	NM_001128917.2	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44900154_rs1160985	19:44900153-44900155	rs1160985	intron_variant,NMD_transcript_variant	MODIFIER	TOMM40	ENSG00000130204	Transcript	ENST00000592041.1	nonsense_mediated_decay	-	2/5	-	-	-	-	-	-	-	-	-	-	-	1	cds_start_NF	HGNC	HGNC:18001	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44900154_rs1160985	19:44900153-44900155	rs1160985	intron_variant	MODIFIER	TOMM40	ENSG00000130204	Transcript	ENST00000592434.5	protein_coding	-	6/8	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:18001	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44907186_rs769450	19:44907185-44907187	rs769450	intron_variant	MODIFIER	APOE	ENSG00000130203	Transcript	ENST00000252486.9	protein_coding	-	2/3	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:613	MANE_Select	NM_000041.4	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44907186_rs769450	19:44907185-44907187	rs769450	downstream_gene_variant	MODIFIER	TOMM40	ENSG00000130204	Transcript	ENST00000252487.9	protein_coding	-	-	-	-	-	-	-	-	-	-	-	-	3497	1	-	HGNC	HGNC:18001	-	-	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44907186_rs769450	19:44907185-44907187	rs769450	downstream_gene_variant	MODIFIER	TOMM40	ENSG00000130204	Transcript	ENST00000405636.6	protein_coding	-	-	-	-	-	-	-	-	-	-	-	-	3498	1	-	HGNC	HGNC:18001	-	-	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44907186_rs769450	19:44907185-44907187	rs769450	intron_variant	MODIFIER	APOE	ENSG00000130203	Transcript	ENST00000425718.1	protein_coding	-	1/2	-	-	-	-	-	-	-	-	-	-	-	1	cds_end_NF	HGNC	HGNC:613	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44907186_rs769450	19:44907185-44907187	rs769450	downstream_gene_variant	MODIFIER	TOMM40	ENSG00000130204	Transcript	ENST00000426677.7	protein_coding	-	-	-	-	-	-	-	-	-	-	-	-	3497	1	-	HGNC	HGNC:18001	MANE_Select	NM_001128917.2	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44907186_rs769450	19:44907185-44907187	rs769450	intron_variant	MODIFIER	APOE	ENSG00000130203	Transcript	ENST00000434152.5	protein_coding	-	2/3	-	-	-	-	-	-	-	-	-	-	-	1	cds_end_NF	HGNC	HGNC:613	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44907186_rs769450	19:44907185-44907187	rs769450	intron_variant	MODIFIER	APOE	ENSG00000130203	Transcript	ENST00000446996.5	protein_coding	-	2/3	-	-	-	-	-	-	-	-	-	-	-	1	cds_end_NF	HGNC	HGNC:613	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44907186_rs769450	19:44907185-44907187	rs769450	non_coding_transcript_exon_variant	MODIFIER	APOE	ENSG00000130203	Transcript	ENST00000485628.2	retained_intron	2/2	-	-	-	631-632	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:613	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44907186_rs769450	19:44907185-44907187	rs769450	downstream_gene_variant	MODIFIER	TOMM40	ENSG00000130204	Transcript	ENST00000592041.1	nonsense_mediated_decay	-	-	-	-	-	-	-	-	-	-	-	-	4054	1	cds_start_NF	HGNC	HGNC:18001	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44907186_rs769450	19:44907185-44907187	rs769450	downstream_gene_variant	MODIFIER	TOMM40	ENSG00000130204	Transcript	ENST00000592434.5	protein_coding	-	-	-	-	-	-	-	-	-	-	-	-	3500	1	-	HGNC	HGNC:18001	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44908821_rs7412	19:44908820-44908822	rs7412	coding_sequence_variant	MODIFIER	APOE	ENSG00000130203	Transcript	ENST00000252486.9	protein_coding	4/4	-	-	-	594-595	525-526	175-176	-	-	-	-	-	-	1	-	HGNC	HGNC:613	MANE_Select	NM_000041.4	-	1	P1	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44908821_rs7412	19:44908820-44908822	rs7412	coding_sequence_variant	MODIFIER	APOE	ENSG00000130203	Transcript	ENST00000425718.1	protein_coding	3/3	-	-	-	790-791	525-526	175-176	-	-	-	-	-	-	1	cds_end_NF	HGNC	HGNC:613	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44908821_rs7412	19:44908820-44908822	rs7412	coding_sequence_variant	MODIFIER	APOE	ENSG00000130203	Transcript	ENST00000434152.5	protein_coding	4/4	-	-	-	660-661	603-604	201-202	-	-	-	-	-	-	1	cds_end_NF	HGNC	HGNC:613	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44908821_rs7412	19:44908820-44908822	rs7412	coding_sequence_variant	MODIFIER	APOE	ENSG00000130203	Transcript	ENST00000446996.5	protein_coding	4/4	-	-	-	614-615	525-526	175-176	-	-	-	-	-	-	1	cds_end_NF	HGNC	HGNC:613	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_44908821_rs7412	19:44908820-44908822	rs7412	downstream_gene_variant	MODIFIER	APOE	ENSG00000130203	Transcript	ENST00000485628.2	retained_intron	-	-	-	-	-	-	-	-	-	-	-	-	1495	1	-	HGNC	HGNC:613	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-
chr19_45012791_rs35194383	19:45012790-45012792	rs35194383	intron_variant	MODIFIER	RELB	ENSG00000104856	Transcript	ENST00000221452.13	protein_coding	-	4/11	-	-	-	-	-	-	-	-	-	-	-	1	-	HGNC	HGNC:9956	MANE_Select	NM_006509.4	-	1	P2	-	-	-	-	-	-	-	-	-	-	-	-
